
 刘德华,#genre#
刘德华1994演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5254293433021260712_hlsb.m3u8
刘德华1996演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901330696385196_hlsb.m3u8
刘德华1999演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5223894135601694429_hlsb.m3u8
刘德华2001演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5233464283077987692_hlsb.m3u8
刘德华2008演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5208131536088295070_hlsb.m3u8
周杰伦,#genre#
周杰伦 2002 The One演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5220235016296282239_hlsb.m3u8
周杰伦2004无与伦比演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5229242213122967416_hlsb.m3u8
周杰伦2007世界巡回演唱会,https://alimov2.a.kwimgs.com/upic/2023/01/31/06/BMjAyMzAxMzEwNjQ5NTlfMjIwMDY1ODA5OF85NTA0ODM3MTc0MF8wXzM=_b_B32a9c31e5a6ab143d10067541cdee2c7.mp4
周杰伦2010超时代演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5233182863511862714_hlsb.m3u8
周杰伦2016地表最强世界巡回演唱会,http://jsmov2.a.yximgs.com/bs3/video-hls/5259078559520917757_hlsb.m3u8
周杰伦jaychou2004演唱会,https://txmov2.a.kwimgs.com/bs3/video-hls/5229242213122967416_hlsb.m3u8
其他,#genre#
黄家驹经典演唱会,https://txmov2.a.kwimgs.com/bs3/video-hls/5208131530969596130_hlsb.m3u8
任贤齐2023巡回演唱会,https://txmov2.a.kwimgs.com/bs3/video-hls/5212916676307880107_hlsb.m3u8
4K高清:许巍2013-2015《此时此刻》巡回演唱会完整版(未删减版),https://txmov2.a.kwimgs.com/bs3/video-hls/5192931929563484691_hlsb.m3u8
邓丽君1984年演唱会,https://txmov2.a.kwimgs.com/bs3/video-hls/5223049694952769329_hlsb.m3u8
刘德华2007,https://alimov2.a.kwimgs.com/upic/2020/02/28/13/BMjAyMDAyMjgxMzMwNDFfMTU5NTU2MTY2OV8yNDE4ODE5MDc1Ml8yXzM=_b_B48ce4518e73458e04dec4771e0deb6a4.mp4
刘德华1994演唱会,https://alimov2.a.kwimgs.com/upic/2020/11/21/21/BMjAyMDExMjEyMTA2NDdfODI4NTk1NTQ0XzM5NTk1NzIyODQ0XzJfMw==_b_Bd2a633720f4eb58f50fcf669ac9f6481.mp4
刘德华1996演唱会,https://txmov2.a.kwimgs.com/upic/2020/11/24/04/BMjAyMDExMjQwNDAwMzFfODI4NTk1NTQ0XzM5NzA5NDUwNzEyXzJfMw==_b_B5b8c14b2ba01d46f3c1f12fbeba49c43.mp4
